date,city,temperature,humidity,prediction
2026-03-26 05:49:08,Ajmer,23.11,45,
2026-03-26 05:49:16,Ajmer,23.11,45,
2026-03-26 05:49:23,Ajmer,23.11,45,
2026-03-26 05:49:36,London,3.91,75,
2026-03-26 05:49:47,New Delhi,25.66,22,
2026-03-26 05:49:56,New Delhi,25.66,22,
2026-03-26 05:55:51,New Delhi,25.66,22,
2026-03-26 05:56:38,New Delhi,25.66,22,
2026-03-26 05:57:30,New Delhi,25.66,22,
2026-03-26 05:57:49,Ajmer,23.11,45,
2026-03-26 05:59:50,Ajmer,23.11,45,
2026-03-26 05:59:57,New york,9.07,53,
2026-03-26 06:00:04,New york,9.07,53,
2026-03-26 06:16:52,New york,8.45,51,
2026-03-26 06:17:10,Hawai,24.65,66,
2026-03-26 06:17:23,Ajmer,22.76,45,
2026-03-26 06:22:30,Ajmer,22.76,45,
2026-03-26 06:22:32,Ajmer,22.76,45,
2026-03-26 06:22:34,Ajmer,22.76,45,
2026-03-26 06:22:35,Ajmer,22.76,45,
2026-03-26 06:22:37,Ajmer,22.76,45,
2026-03-26 06:22:38,Ajmer,22.76,45,
2026-03-26 06:22:40,Ajmer,22.76,45,
2026-03-26 06:22:41,Ajmer,22.76,45,
2026-03-26 06:22:42,Ajmer,22.76,45,
2026-03-26 06:22:45,Ajmer,22.76,45,
2026-03-26 06:22:46,Ajmer,22.76,45,
2026-03-26 06:38:53,Ajmer,22.76,45,
2026-03-26 06:40:29,Ajmer,22.76,45,
2026-03-26 06:40:40,Ajmer,22.76,45,
2026-03-26 06:42:43,Los Angeles,23.0,46,
2026-03-26 06:42:46,Los Angeles,23.0,46,
2026-03-26 06:42:58,New york,8.45,51,
2026-03-26 06:49:38,New york,8.45,51,
2026-03-26 06:49:48,Ajmer,22.9,43,
2026-03-26 06:49:55,Ajmer,22.9,43,
2026-03-26 06:50:05,Greece,8.05,58,
2026-03-26 06:50:17,Delhi,24.78,28,
2026-03-26 06:50:27,New Delhi,25.07,27,
2026-03-26 06:52:08,New Delhi,25.07,27,
2026-03-26 06:52:30,New Delhi,25.07,27,
2026-03-26 12:18:28,London,3.09,84,
2026-03-26 12:18:36,Ajmer,32.3,21,
2026-03-27 01:13:07,London,7.26,50,
2026-03-27 01:13:13,Ajmer,25.86,33,
2026-03-27 01:13:21,London,7.26,50,
2026-03-27 01:13:27,New York,23.26,44,
2026-03-27 01:13:32,New Delhi,28.13,25,
2026-03-27 01:14:48,Greece,15.92,81,
2026-03-27 01:14:54,Los Angeles,28.17,25,
2026-03-28 07:35:35,London,6.49,78,
2026-03-28 07:35:43,New York,5.93,39,
2026-03-28 07:35:49,New Delhi,23.99,43,
2026-03-28 07:35:53,Ajmer,23.38,42,
2026-03-28 07:36:01,Ajmer,23.38,42,
2026-03-28 07:36:06,Los Angeles,20.96,48,
2026-03-28 07:36:33,Greece,-2.09,40,
2026-03-28 07:36:50,Greece,-2.09,40,
2026-03-28 07:36:57,Delhi,23.72,43,
2026-03-29 11:33:19,London,2.59,82,
2026-03-29 11:33:23,London,2.59,82,
2026-03-29 11:33:29,Ajmer,30.99,30,
2026-03-29 11:33:37,London,2.59,82,
2026-03-29 11:33:43,Tokyo,19.92,41,
2026-03-29 11:33:51,Los Angeles,20.08,53,
2026-03-29 11:33:58,Greece,-0.67,66,
2026-03-30 03:52:45,London,9.24,87,
2026-03-30 03:52:52,Ajmer,24.26,54,
2026-03-30 03:53:30,Los Angeles,28.64,20,
2026-03-30 03:55:19,Delhi,27.41,36,
2026-04-23 06:10:18,London,7.86,81,
2026-04-23 06:10:33,Punjab,27.42,24,
2026-04-23 06:12:03,Ajmer,23.34,31,
